Type;Value;Comment
SHA-256;a294620543334a721a2ae8eaaf9680a0786f4b9a216d75b55cfd28f39e9430ea;CaddyWiper https://blog.malwarebytes.com/threat-intelligence/2022/03/double-header-isaacwiper-and-caddywiper/
md5;42e52b8daf63e6e26c3aa91e7e971492;CaddyWiper https://blog.malwarebytes.com/threat-intelligence/2022/03/double-header-isaacwiper-and-caddywiper/
sha1;98b3fb74b3e8b3f9b05a82473551c5a77b576d54;CaddyWiper https://blog.malwarebytes.com/threat-intelligence/2022/03/double-header-isaacwiper-and-caddywiper/
MD5;e4b54ee2f0068762179e7e514d90bf16;https://cert.gov.ua/article/38155 Диверсанти.rar
sha256;fbabc4e5a6470606fc64c39c182b5a7a71f8fa96f50c67725d52abf184f75fd4;https://cert.gov.ua/article/38155 Диверсанти.rar
filename;Диверсанти.rar;https://cert.gov.ua/article/38155
md5;e4b54ee2f0068762179e7e514d90bf16    ;https://cert.gov.ua/article/38156 Диверсанти.rar
sha1;f3f68b4bfdeb4d4cae5e05b66ca9c93e02f467ea;https://cert.gov.ua/article/38156 Диверсанти.rar
sha256;fbabc4e5a6470606fc64c39c182b5a7a71f8fa96f50c67725d52abf184f75fd4    ;https://cert.gov.ua/article/38157 Диверсанти.rar
md5;4a78df33d4f987103dc0c0f3a302b8cb;https://cert.gov.ua/article/38155 Диверсанти 21.03.rar
sha1;86063f8ed3331987b42a5fc256e26abfb174b48a;https://cert.gov.ua/article/38155 Диверсанти 21.03.rar
sha256;59ed536e1955e310f321435d43ca8b60cb3746514f3c3ea951d43633cacbe7bc;https://cert.gov.ua/article/38155 Диверсанти 21.03.rar
md5;bcdab4ae622811f699765bfb9cb909d2;https://cert.gov.ua/article/38155 Filerar.scr
sha256;6149680c8541980d46c17681e37e4751e2baca1d13ee648b8188dfb24bf56f7c;https://cert.gov.ua/article/38155 Filerar.scr
filename;Filerar.scr;https://cert.gov.ua/article/38155
md5;b5525108912ee8d5f1519f1b552723e8;https://cert.gov.ua/article/38155 thumbs.db
sha256;d324d7f30984931176ff878a81c7c1f4f979ad3d759c7f33427bba10d9deb1f6;https://cert.gov.ua/article/38155 thumbs.db
filename;Thumbs.db;https://cert.gov.ua/article/38155
md5;3303286735a07ae5d14db9c12843d44e;https://cert.gov.ua/article/38155 dhdhk0k34.com
sha256;f98e1e61c84a5ed098e7481ab339e2881195f4d1b101c92b81113eb7ff56e63d;https://cert.gov.ua/article/38155 dhdhk0k34.com
filename;dhdhk0k34.com;https://cert.gov.ua/article/38155
filename;inject.exe;https://cert.gov.ua/article/38155 2022-03-15
filename;csbeacon.bin;https://cert.gov.ua/article/38155 Cobalt Strike beacon
URL;https://ao3.hmgo.pw/tags/Akihabara@TODEEP/works;https://cert.gov.ua/article/38155
URL;https://ao3.hmgo.pw/tags/Akihabara@TODEEP/works/update;https://cert.gov.ua/article/38155
domain;ao3.hmgo.pw;https://cert.gov.ua/article/38155
domain;hmgo.pw;https://cert.gov.ua/article/38155
Pathfile;C:\Users\Public\dhdhk0k34.com;https://cert.gov.ua/article/38155
Pathfile;C:\Users\Public\Skype.exe;https://cert.gov.ua/article/38156
